Carpeta;Fichero;CuentaNIF;Ultimo acceso;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupPowerAndSleepSleep.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupPowerAndSleepDisplayOffAoAc.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupPrivacyLocationHistory.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupRegionDateTimeFormats.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupSpeechMicrophone.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupSpeechTextToSpeech.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupVirtualDesktops.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsGroupYourAccount.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsPageAccountsManage.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsPageAccountsPicture.settingcontent-ms;0;09/12/2015 8:13:33;
